DCXY        Vout        V(OUT)     
-4.7000E-05  8.1094E-01  8.1094E-01
-4.6000E-05  8.1219E-01  8.1219E-01
-4.5000E-05  8.1344E-01  8.1344E-01
-4.4000E-05  8.1469E-01  8.1469E-01
-4.3000E-05  8.1595E-01  8.1595E-01
-4.2000E-05  8.1721E-01  8.1721E-01
-4.1000E-05  8.1847E-01  8.1847E-01
-4.0000E-05  8.1973E-01  8.1973E-01
-3.9000E-05  8.2100E-01  8.2100E-01
-3.8000E-05  8.2227E-01  8.2227E-01
-3.7000E-05  8.2354E-01  8.2354E-01
-3.6000E-05  8.2482E-01  8.2482E-01
-3.5000E-05  8.2609E-01  8.2609E-01
-3.4000E-05  8.2737E-01  8.2737E-01
-3.3000E-05  8.2865E-01  8.2865E-01
-3.2000E-05  8.2994E-01  8.2994E-01
-3.1000E-05  8.3122E-01  8.3122E-01
-3.0000E-05  8.3251E-01  8.3251E-01
-2.9000E-05  8.3380E-01  8.3380E-01
-2.8000E-05  8.3510E-01  8.3510E-01
-2.7000E-05  8.3639E-01  8.3639E-01
-2.6000E-05  8.3769E-01  8.3769E-01
-2.5000E-05  8.3899E-01  8.3899E-01
-2.4000E-05  8.4029E-01  8.4029E-01
-2.3000E-05  8.4160E-01  8.4160E-01
-2.2000E-05  8.4290E-01  8.4290E-01
-2.1000E-05  8.4421E-01  8.4421E-01
-2.0000E-05  8.4552E-01  8.4552E-01
-1.9000E-05  8.4683E-01  8.4683E-01
-1.8000E-05  8.4815E-01  8.4815E-01
-1.7000E-05  8.4946E-01  8.4946E-01
-1.6000E-05  8.5078E-01  8.5078E-01
-1.5000E-05  8.5210E-01  8.5210E-01
-1.4000E-05  8.5342E-01  8.5342E-01
-1.3000E-05  8.5475E-01  8.5475E-01
-1.2000E-05  8.5608E-01  8.5608E-01
-1.1000E-05  8.5740E-01  8.5740E-01
-1.0000E-05  8.5873E-01  8.5873E-01
-9.0000E-06  8.6007E-01  8.6007E-01
-8.0000E-06  8.6140E-01  8.6140E-01
-7.0000E-06  8.6274E-01  8.6274E-01
-6.0000E-06  8.6407E-01  8.6407E-01
-5.0000E-06  8.6541E-01  8.6541E-01
-4.0000E-06  8.6675E-01  8.6675E-01
-3.0000E-06  8.6810E-01  8.6810E-01
-2.0000E-06  8.6944E-01  8.6944E-01
-1.0000E-06  8.7079E-01  8.7079E-01
-5.4210E-20  8.7214E-01  8.7214E-01
 1.0000E-06  8.7349E-01  8.7349E-01
 2.0000E-06  8.7484E-01  8.7484E-01
 3.0000E-06  8.7619E-01  8.7619E-01
 4.0000E-06  8.7755E-01  8.7755E-01
 5.0000E-06  8.7891E-01  8.7891E-01
 6.0000E-06  8.8027E-01  8.8027E-01
 7.0000E-06  8.8163E-01  8.8163E-01
 8.0000E-06  8.8299E-01  8.8299E-01
 9.0000E-06  8.8436E-01  8.8436E-01
 1.0000E-05  8.8572E-01  8.8572E-01
 1.1000E-05  8.8709E-01  8.8709E-01
