FREQ        VDB(OUT)    VP(OUT)     VDB(2)      VP(2)      
 8.9376E+06 -2.2951E+01 -1.2240E+02  5.8316E+00 -2.4829E+02
 9.4539E+06 -2.3667E+01 -1.2232E+02  5.4426E+00 -2.5035E+02
 1.0000E+07 -2.4373E+01 -1.2215E+02  5.0407E+00 -2.5237E+02
 1.0578E+07 -2.5065E+01 -1.2190E+02  4.6269E+00 -2.5435E+02
 1.1189E+07 -2.5743E+01 -1.2160E+02  4.2028E+00 -2.5627E+02
 1.1835E+07 -2.6405E+01 -1.2125E+02  3.7698E+00 -2.5815E+02
 1.2519E+07 -2.7049E+01 -1.2089E+02  3.3292E+00 -2.5998E+02
 1.3242E+07 -2.7676E+01 -1.2051E+02  2.8824E+00 -2.6176E+02
 1.4007E+07 -2.8286E+01 -1.2015E+02  2.4306E+00 -2.6350E+02
 1.4816E+07 -2.8878E+01 -1.1981E+02  1.9751E+00 -2.6520E+02
 1.5672E+07 -2.9454E+01 -1.1950E+02  1.5170E+00 -2.6685E+02
 1.6577E+07 -3.0014E+01 -1.1925E+02  1.0573E+00 -2.6848E+02
 1.7535E+07 -3.0560E+01 -1.1905E+02  5.9716E-01 -2.7008E+02
 1.8548E+07 -3.1091E+01 -1.1892E+02  1.3731E-01 -2.7165E+02
 1.9619E+07 -3.1610E+01 -1.1886E+02 -3.2136E-01 -2.7320E+02
 2.0753E+07 -3.2116E+01 -1.1888E+02 -7.7808E-01 -2.7474E+02
 2.1951E+07 -3.2611E+01 -1.1898E+02 -1.2321E+00 -2.7628E+02
 2.3220E+07 -3.3095E+01 -1.1915E+02 -1.6828E+00 -2.7780E+02
 2.4561E+07 -3.3569E+01 -1.1941E+02 -2.1294E+00 -2.7933E+02
 2.5980E+07 -3.4034E+01 -1.1975E+02 -2.5714E+00 -2.8086E+02
 2.7480E+07 -3.4489E+01 -1.2017E+02 -3.0082E+00 -2.8239E+02
 2.9068E+07 -3.4934E+01 -1.2067E+02 -3.4390E+00 -2.8394E+02
 3.0747E+07 -3.5370E+01 -1.2125E+02 -3.8634E+00 -2.8550E+02
 3.2523E+07 -3.5797E+01 -1.2191E+02 -4.2808E+00 -2.8708E+02
 3.4402E+07 -3.6214E+01 -1.2265E+02 -4.6904E+00 -2.8867E+02
 3.6389E+07 -3.6621E+01 -1.2346E+02 -5.0918E+00 -2.9029E+02
 3.8492E+07 -3.7018E+01 -1.2433E+02 -5.4842E+00 -2.9192E+02
 4.0715E+07 -3.7405E+01 -1.2528E+02 -5.8672E+00 -2.9358E+02
 4.3067E+07 -3.7781E+01 -1.2629E+02 -6.2402E+00 -2.9526E+02
 4.5555E+07 -3.8145E+01 -1.2736E+02 -6.6024E+00 -2.9695E+02
 4.8187E+07 -3.8498E+01 -1.2849E+02 -6.9535E+00 -2.9867E+02
