 v-sweep         ID              Gds            
 2.28000000e-01  1.09854825e-05  2.23135632e-05 
 2.34000000e-01  1.11194615e-05  2.23463337e-05 
 2.40000000e-01  1.12536379e-05  2.23787159e-05 
 2.46000000e-01  1.13880076e-05  2.24102712e-05 
 2.52000000e-01  1.15225644e-05  2.24406568e-05 
 2.58000000e-01  1.16573002e-05  2.24696083e-05 
 2.64000000e-01  1.17922054e-05  2.24969254e-05 
 2.70000000e-01  1.19272698e-05  2.25224603e-05 
 2.76000000e-01  1.20624821e-05  2.25461077e-05 
 2.82000000e-01  1.21978306e-05  2.25677969e-05 
 2.88000000e-01  1.23333035e-05  2.25874857e-05 
 2.94000000e-01  1.24688885e-05  2.26051545e-05 
 3.00000000e-01  1.26045734e-05  2.26208022e-05 
 3.06000000e-01  1.27403462e-05  2.26344426e-05 
 3.12000000e-01  1.28761948e-05  2.26461011e-05 
 3.18000000e-01  1.30121073e-05  2.26558124e-05 
 3.24000000e-01  1.31480723e-05  2.26636187e-05 
 3.30000000e-01  1.32840784e-05  2.26695674e-05 
 3.36000000e-01  1.34201145e-05  2.26737102e-05 
 3.42000000e-01  1.35561701e-05  2.26761021e-05 
 3.48000000e-01  1.36922348e-05  2.26767996e-05 
 3.54000000e-01  1.38282985e-05  2.26758610e-05 
 3.60000000e-01  1.39643516e-05  2.26733451e-05 
 3.66000000e-01  1.41003849e-05  2.26693108e-05 
 3.72000000e-01  1.42363894e-05  2.26638168e-05 
 3.78000000e-01  1.43723566e-05  2.26569212e-05 
 3.84000000e-01  1.45082781e-05  2.26486812e-05 
 3.90000000e-01  1.46441461e-05  2.26391530e-05 
 3.96000000e-01  1.47799531e-05  2.26283916e-05 
 4.02000000e-01  1.49156918e-05  2.26164505e-05 
 4.08000000e-01  1.50513552e-05  2.26033818e-05 
 4.14000000e-01  1.51869368e-05  2.25892362e-05 
 4.20000000e-01  1.53224304e-05  2.25740628e-05 
 4.26000000e-01  1.54578297e-05  2.25579089e-05 
 4.32000000e-01  1.55931292e-05  2.25408206e-05 
 4.38000000e-01  1.57283233e-05  2.25228420e-05 
 4.44000000e-01  1.58634068e-05  2.25040158e-05 
